Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
TS,,NS,,,GES 300,Oceanography  the Human Perspective,3,"Junior or senior standing, or sophomores by permission","Introduction to scientific oceanography and its relationship to human life. History of oceanography and its technology; crustal movements; the ocean as a source of mineral resources; the variety of ocean life such as jellyfish and sharks, and their danger; whales and the human perspective of ""lower"" life; sound and submarine warfare, waves and their potential energy and destructive capacity; human pollution."
FS,,NS,NS,,PHY 100,Fundamental Physics Concepts,4,,"Algebra-based course for students with minimal physics background. Topics introduced include Newton's laws of motion, electromagnetism, thermodynamics, optics, and atomic theory. Emphasis is on basic physical principles. Includes laboratory."
FS,,NS,NS,,PHY 107,General Physics I,4,High school physics or PHY 100,"Algebra- and trigonometry-based introductory physics course which covers Newtonian mechanics and conservation laws; fluid statics and dynamics; vibrations, waves, and sound; laws of thermodynamics. Includes laboratory."
FS,,NS,NS,,PHY 108,General Physics II,4,PHY 107; MTH 115,"Continuation of PHY 107. Electric and magnetic fields; electromagnetic induction; electromagnetic waves; geometrical and physical optics; the special theory of relativity; quantum theory, atomic physics, and nuclear and particle physics. Includes laboratory."
FS,,NS,NS,,PHY 110,University Physics I,4,High school physics or PHY 100; MTH 119 or MTH 121,"A calculus-based introductory physics course for scientists and engineers that covers Newton's laws of motion; conservation laws for momentum, energy, and rotational motion; oscillatory motion. Includes laboratory."
FS,,NS,NS,,PHY 123,"Physical Science, the Basis for A Technical Society",3,,"A course for non-science students with minimal preparation in mathematics and science. Emphasizes basic concepts from the physical sciences and their significance for a scientifically literate society. Topics in physics, chemistry, computing, energy, and astronomy will be covered from an applications perspective. Students with prior college physics courses may not register for this course."
,,NS,NS,,PHY 130,University Physics I for Scientists,4,High school physics or PHY 100; MATH 119 or MTH 121,"A calculus-based introductory physics course for scientists and honors students that covers Newton's laws of motion; conservation laws for momentum, energy, and angular momentum, oscillatory motion, fluids, and thermodynamics.  Includes laboratory."
FS,,NS,NS,,PHY 201,University Physics II,4,PHY 110. Corequisite: MTH 223,Continuation of PHY 110 covering electric fields and DC circuits; magnetic fields; electromagnetic induction and AC circuits; Maxwell's equations; electromagnetic waves; and geometrical and physical optics. Includes laboratory.
FS,,NS,NS,,PSY 201,Brain and Behavior,3,,"An introduction to the scientific study of the nervous system and its relation to behavior.   The underlying biology of learning, memory, language, sensation, emotion, reproductive behavior, psychopathology, and other topics."
FS,,NS,"NS,WI",,SCI 100,"Science through Inquiry I: (Biology, Physics)",4,12 hours college credit,"Interdisciplinary, inquiry-based course exploring the science of motion.  Integrates content in biology and physics.  The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
FS,,NS,"NS,WI",,SCI 101,Science through Inquiry I: Special Topics,4,12 hours college credit,"Interdisciplinary, inquiry-based course exploring the science of various themes.  Integrates content in a life science and a physical science.  The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course. The course may be repeated once under a different topic for a maximum of eight credit hours."
FS,,NS,"NS,WI",,SCI 102,Science through Inquiry I: Molecules (Biology and Chemistry),4,12 hours college credit,"Interdisciplinary, inquiry-based course exploring the science of molecules.  Integrates content in biology and chemistry. The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
FS,,NS,NS WI,,SCI 103,"Science through Inquiry I: Energy (Biology, Physics)",4,12 hours college credit,"Interdisciplinary, inquiry-based course exploring the science of energy.  Integrates content in biology and physics. The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
FS,,NS,"NS,WI",,SCI 104,"Science through Inquiry I: Water (Biology, Chemistry)",4,12 hours college credit. ,"Interdisciplinary, inquiry-based course exploring the science of water.  Integrates content in biology and chemistry. The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
TS,,NS,"NS,WI",,SCI 300,"Science through Inquiry II: Evolution (Biology, Earth Science)",4,"C or better in a course from the SCI 100 series, or consent of instructor","Interdisciplinary, inquiry-based course exploring the science of evolution.  Integrates content in biology and earth science. The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
FS,,NS,"NS,WI",,SCI 302,"Science through Inquiry II: Ecosystems (Biology, Earth Science)",4,"C or better in a course from the SCI 100 series, or consent of instructor","Interdisciplinary, inquiry-based course exploring the science of ecosystems.  Integrates content in biology and earth science. The course provides investigative science experiences, appropriate for education and other majors requiring a laboratory science course."
