Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
NW,World Cultures,GP WC,GP WC,,ANT 305,Peoples and Cultures of the World,3,SOC 100 or SOC 101 or ANT 101,"Examines the cultural and structural features of a particular region of the globe or a specific cultural group. Students will develop a deeper understanding of the processes and institutions of enculturation, and examine the effects of colonialism and globalization on the processes of cultural change. Topics will vary by semester and will be stated in the semester schedule of classes. Geographic foci will include, among others, Asia, Latin America, and indigenous Australia. Repeatable to a maximum of 9 semester hours."
NW,World Cultures,GP WC,GP WC,,ANT 314,Indigenous Peoples,3,SOC 100 or ANT 101; or consent of instructor,"Analysis of the experiences of indigenous peoples around the world. Focus on social, cultural and historical patterns, with an examination of the effects of colonialism and globalization."
CD,World Cultures,GP WC,"GP WC,MI",,COM 315,Intercultural Communication Theory,3,COM 103; junior standing,"Communication across diverse cultures. Intercultural communication theory, skills, and concepts. Developing specific communication skills to facilitate effective communication in intercultural settings."
HL,World Cultures,GP WC,"GP WC,HU",,ENG 123,European Writers,3,,Study of the representation of human values in significant texts (in translation) by European writers.
NW,World Cultures,GP WC,"GP WC,MI",,ENG 130,Introduction to Native American Literature,3,,Introduction to Native American literatures from oral storytelling traditions to contemporary genres.
,World Cultures,GP WC,"GP WC,HU",,ENG 140,Global Literatures,3,,"The study of representation of human values in literatures emerging from regions such as the Middle East, Africa, Asia, and Latin America."
NW,World Cultures,GP WC,"GP WC, WI, HU",,ENG 381,Literatures of Asia,3,Junior Standing; or permission of instructor,Study of the cultural traditions of Asia through selected literary classics.
HL,World Cultures,GP WC,"GP WC,HU",,ENG 385,Literatures of Europe,3,Junior Standing or permission of instructor,Focuses on the cultural contexts of significant texts (read in translation) from Europe.
CD,World Cultures,GP WC,GP WC,,ETE 280,"Exploring Diversity: Learners, Families, And Communities",3,,"The socialization and enculturation of learners in the context of their families, communities, and cultures. Awareness, acceptance, and appreciation of diversity, whether resulting from cultural or ability differences. Emphasis on the teacher's role in involving, educating, and communicating with parents as partners in the educational process. Professional advocacy that supports an inclusionary, multicultural, antiracist, democratic, non-sexist, and global curriculum. ETE 280 is one course that meets criteria for the Illinois ECSE Approval."
,World Cultures,GP WC,GP WC,,FCS 271,Food & World Cultures,3,,"This course is an exploration of a variety of foods and cultures that demonstrate the influences of demography, geography, history, social traditions, religious beliefs, and other environmental considerations on food, its preparation, service, and symbolism/meaning."
NW,World Cultures,GP WC,"GP WC,HU,WI",,HIS 205,Non-Western Civilization:  Latin America,3,,"Major social, economic, and political institutions and forces that have shaped Latin American society. Emphasis on socioeconomic changes in the 20th century that have polarized the social class structure and encouraged political upheaval."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 206,Non-Western Civilization:  the Middle East Since Muhammad,3,,"History of the Middle East from the time of the prophet Muhammad to the present. Pre-modern, modern, and contemporary Middle East."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 207,"Non-Western Civilization: Modern Japan, 1860-Present",3,,The rise of modern Japan: The growth of Japanese power and its influence in the world economy.
NW,World Cultures,GP WC,"GP WC,HU,WI",,HIS 208,Non-Western Civilization:  Russian History,3,,"Russian and Soviet history from its origins to the present. Major features of pre-modern, modern, and contemporary Russian civilization."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 314,Non-Western Civilization: Japan & World War II,3,,Analyzes Japanese militarism and expansionism and examines the significance of Japan's World War II defeat and its impact on the Asian/Pacific world. Prerequisite:
SF,World Cultures,GP WC,"GP WC,HU",,HIS 316,African American History Since 1877,3,,"Explores the integral place of African Americans in American history and culture from Reconstruction to the present. Analyzes historical achievements of African Americans, as well as social changes and cultural perspectives on race, class, gender, sexuality, and nation that have shaped the black experience. Topics include Reconstruction, Jim Crow, the Great Migration, black protest organizations, labor, the Harlem and Chicago Renaissances, art and cultural production, the Civil Rights and Black Power movements, and historical and contemporary American racial politics."
,World Cultures,GP WC,"GP WC,HU",,HIS 329,Modern Germany 1870-Present,3,,"Examines German history in the modern era of unification, imperialism, war and revolution, Weimar democracy, Nazi racial dictatorship, World War II and genocide, Cold War division, and processes of reunification since 1989."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 330,Modern China,3,,"The People's Republic of China is the most populous nation in the world, and for more than a decade it has had one of the largest and fastest growing economies. The last two centuries, however, have seen a succession of states and governments rise and fall in China, tremendous prosperity as well as great poverty, periods of relative social stability and of extreme unrest, continuous and yet changing involvement with the outside world, and fluctuations in what it has meant to be Chinese. This course will examine China's rich history since the 17th century in order to foster greater understanding of one of the most complex and vibrant countries in world history."
,World Cultures,GP WC,"GP WC,HU,WI",,HIS 331,Samurai in Japanese History,3,,"Describes the rise and fall of Japan's warrior class and the bushido ethos. The long history of the samurai begins in the 8th century and continues to the present. Focus on two interrelated themes: the historical reality of the samurai and the construction of mythology in both Japanese popular culture and the Western imagination. Topics include warfare, training, values, literature, and family life. Visual sources, including film, are used extensively."
NW,World Cultures,GP WC,"GP WC,HU,WI",,HIS 335,Modern Mexico,3,,"Social, economic, and political development of Mexico since independence. Contemporary problems facing a developing country which has already experienced one social revolution."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 336,Early Non-Western History and Geography,3,,"Analytical and comparative survey of the formative stages of early non-Western civilizations in five geographical regions. The basic cultural patterns and geographical patterns that emerged between approximately 3500 BCE and 1500 CE will be studied, compared, and related to present developments."
NW,World Cultures,GP WC,"GP WC,HU",,HIS 337,Modern Non-Western History and Geography,3,,Growth and development of non-Western civilizations since c. 1500 CE in their geographical contexts. Reactions of indigenous peoples and cultural patterns to Western penetration and imperialism. Present development and practices. Prerequisite:
SF,World Cultures,GP WC,"GP WC,HU",,HIS 340,Twentieth-Century Europe,3,,"An analytical survey of European history since 1900. Background information on the period before 1914; the First World War and its effects; the rise of fascist, communist, and conservative dictatorships in the 1920s and 1930s; the Second World War and Nazi genocide; major institutions and problems during the Cold War division of Europe; revolutions of 1989-91 and their aftermath."
NW,World Cultures,GP WC,GP WC,,I B 204,Business in Chinese Culture,3,ECO 100 or ECO 221 (or equivalent); sophomore standing,"Overview of sociocultural, religious, historical, economic, and political contexts as these impact ways that business is conducted in China. Examination of the blend of traditional value systems, Communist ideology, and global modernization as influences on contemporary commercial practices in and with China. In-country visits to observe cultural sites and business activities."
NW,World Cultures,GP WC,GP WC,,I B 205,Business in Indian Culture,3,ECO 100 or ECO 221 (or equivalent); sophomore standing,"Overview of sociocultural, religious, historical, economic, and political contexts as these impact ways that business is conducted in India. Examination of the blend of traditional value systems and global modernization as influences on contemporary commercial practices in and with India. In-country visits to observe cultural sites and business activities."
NW,World Cultures,GP WC,GP WC,,I S 104,Fundamentals of International Studies: Area Analysis,3,,Overview of discipline of international studies at micro-level; focus on major states or groups of states.
NW,World Cultures,GP WC,GP WC,,I S 182,Fundamentals of Contemporary East Asian Civilization,3,,Civilization and traditional cultures of East Asia; origins of fundamental values in indigenous East Asian ways of life.
,World Cultures,GP WC,"GP WC,WI",,I S 322,Latin America in the International System,3,,"Critical analysis of the role of Latin America in world affairs and the impact of external forces on politics, society, and interstate relations. Topics include: colonialism, revolutionary change and regional stability, transition to democratic rule, impact of foreign intervention, and role of Latin America in the global political economy."
,World Cultures,GP WC,,,I S 340,COULD NOT FIND CLASS,,,
,World Cultures,GP WC,GP WC,,I S 353,Russian Foreign Policy,3,,"Evolution of major elements of Russian foreign policy, impact of communist past, current post-communist attitudes and policies toward the world, analysis of foreign policies of other post-Soviet Slavic states."
NW,World Cultures,GP WC,GP WC,,I S 355,Imperial Russia,3,,Overview of early Russian development: major socio-political and economic aspects of the Czarist period. Emphasis on imperialist expansionism from the 16th century to the Bolshevik Revolution.
NW,World Cultures,GP WC,"GP WC,GP GS",,I S 363,Middle East Nations in International Affairs,3,,"Introduction to the modern politics of the Middle East. Examination of Arab-Israeli conflict, politics of OPEC, inter-Arab rivalries, terrorism, and the impact of these issues on the role of the Middle East in international affairs. Impact of the end of the Cold War and the Gulf Wars."
,World Cultures,GP WC,GP WC,,I S 373,South and Southeast Asian Nations in International Affairs,3,,"International relations of the south Asian subcontinent and Southeast Asia. Legacy of colonization, religious conflict, territorial disputes, and the nuclear threat. Also the regional political economy and terrorism."
,World Cultures,GP WC,GP WC,,I S 385,Issues of  Contemporary Asia,3,,"Critical studies of new issues and problems in contemporary Asia: tensions between traditional Asian cultures and modern Western ideologies, Asian leadership styles, political institutions, and economic development."
,World Cultures,GP WC,"GP WC,HU",,PHL 130,The Three Teachings: An Introduction to the Chinese Traditions,3,,"Introduction to the three great intellectual and spiritual traditions of China: Confucianism, Daoism, and Buddhism. Examination of values, ethical reflection, modes of moral and spiritual cultivation, and metaphysical reasoning presented in the foundational sources of these traditions."
,World Cultures,GP WC,,,P T HS 380,COULD NOT FIND CLASS,,,
,World Cultures,GP WC,"GP WC,HU",,RLS 105,Church History,3,,"A comprehensive introduction to the major divisions of Christian churches throughout history.  The course explores Eastern Orthodoxy, Oriental Orthodoxy, Roman Catholicism, and many forms of Protestantism through three historical periods: ancient, medieval, and modern."
,World Cultures,GP WC,"GP WC,HU",,RLS 114,Introduction to Judaism,3,,"An introductory course on the history, beliefs, ethics, rituals, and practices of Judaism. The course also examines modern forms of Judaism, particularly in the United States and Israel."
NW,World Cultures,GP WC,"GP WC,HU",,RLS 121,Islamic Civilization,3,,"Introduction to the Islamic Civilization of the Middle East, including primary literature produced by Muslims and members of other religious communities living under the aegis of Islam, from the seventh century to the present."
,World Cultures,GP WC,"GP WC,HU,WI",,RLS 225,Arabic Christianity,3,,"Examines the history of various Arabic Christian communities from pre-Islamic times to modernity, giving special attention to the relationship between Arab Churches and Muslim society. Teaches students ways to interpret primary source literature of Arab Christians, enabling students to understand Christianity in the light of Christians living as minorities in the Islamic world."
HP,World Cultures,GP WC,"GP WC,HU",,RLS 300,Hebrew Bible/Old Testament,3,,Human values relevant to contemporary life found in ancient writings of Judaism and Christianity.
HP,World Cultures,GP WC,"GP WC,HU",,RLS 305,Early Christianity: Monasticism,3,,"Academic study of Christian asceticism from the fourth to the seventh centuries.  This course analyzes the earliest literature of the Christian monastic movements, primarily located in Egypt and the eastern Mediterranean lands.  The course gives particular attention to understanding moral values developed in monasticism that influenced Western civilization."
,World Cultures,GP WC,"GP WC,HU",,RLS 313,Introduction to Rabbinic Judaism,3,,"The course introduces students to the writings that comprise rabbinic literature, particularly the Talmud, the single most influential document in the history of Judaism. Rabbinic texts are set within a broader cultural, historical, and religious context as the values, beliefs, and practices of the first rabbis are analyzed and appreciated."
SF,World Cultures,GP WC,"GP WC,HU,WI",,RLS 320,Muslim-Christian Relations,3,,"Historical and theoretical analysis of relationships between Muslims and Christians, including a careful examination of the Middle Eastern Christian communities at the time of Muhammad, and after. Explores the ways Muslims and Christians have developed theological and social categories for characterizing each other."
NW,World Cultures,GP WC,GP WC,,RLS 331,Religions of the Eastern World,3,,"Historical and cultural study of the religions of India, Southeast Asia, and China."
HP,World Cultures,GP WC,"GP WC,HU",,RLS 332,Religions of the World II,3,,"Historical and literary study of Judaism, Christianity, and Islam."
NW,World Cultures,GP WC,GP WC,,RLS 336,Buddhism and Asian Civilizations,3,,"Historical survey of the development of Buddhism in the civilizations of India, Southeast Asia, East Asia, and Tibet. Origins of the Buddhist tradition and the development of its basic beliefs, practices, and institutions within the context of Asian civilizations."
NW,World Cultures,GP WC,GP WC,,RLS 338,China:  Religion and Culture,3,,"Historical and cultural survey of Chinese religions. Development of Chinese religion and philosophy from ancient times until the present. Major traditions of Confucianism, Taoism, and Buddhism, as well as popular belief and culture."
NW,World Cultures,GP WC,GP WC,,RLS 340,Japan:  Religion and Culture,3,,"Historical and cultural survey of religion in Japan, primarily Buddhism and Shinto. Folk religion, Chinese influences, and the New Religions."
NW,World Cultures,GP WC,GP WC,,SOC 300,Cross-Cultural Perspectives On Gender,3,"SOC 100, ANT 101, or consent of instructor","Examines the construction of gender in non-western societies, concentrating on the way gender shapes and is shaped by power relations in these societies."
NW,World Cultures,GP WC,GP WC,,SOC 311,Comparative Family Systems,3,"SOC 100, ANT 101, or consent of instructor","Comparative study of non-Western family systems, with a focus on cross-cultural differences and the potential conflicts of migration. Varying focus on families of Asia, Africa, and the Middle East."
SF,World Cultures,GP WC,"GP WC,MI",,WGS 200,Introduction to Women's and Gender Studies,3,,"Provides students with an overview of the perspectives, debates, and scholarship within the interdisciplinary field of Women's and Gender Studies. We will study the social construction of gender and feminist critiques of essentialism, the women's movement since the nineteenth century, women and labor, manhood, body image and the media, women and sports, reproductive justice, violence against women, global activism for gender equality.  WGS 200 emphasizes that gendered experiences are diverse due to differences in race, ethnicity, class, sexuality, nationality, age, etc., and helps students develop the ability to analyze gendered systems and read gender in texts and visual media.  Approved for General Education."
,World Cultures,GP WC,GP WC,,WLF 202,Intermediate French 2,3,WLF 201 or equivalent,A transition course between elementary language and advanced content courses. Emphasis on contemporary culture with an increased focus on reading and writing.  Continuation and refinement of grammatical structures and vocabulary as well as the development of speaking and listening skills in a content-based classroom.
,World Cultures,GP WC,,,WLF 370,Francophone Identities,3,WLF 303 or WLF 306,"An exploration of the French-speaking world outside of France through film and literature.  Areas covered may include Canada, the Caribbean, Sub-Saharan Africa, and Northern Africa.  Students examine the relationship between group and individual identity, language and self, including post-colonial theory."
,World Cultures,GP WC,GP WC,,WLG 202,Intermediate German 2,3,WLG 201 or equivalent,A transition course between elementary language and advanced content courses. Emphasis on contemporary culture with an increased focus on reading and writing. Continuation and refinement of grammatical structures and vocabulary as well as the development of speaking and listening skills in a content-based classroom.
,World Cultures,GP WC,GP WC,,WLG 321,Survey of German Culture and Civilization,3,WLG 202 (FLG 202) or equivalent,Major periods in the culture and civilization of Germany and German-speaking countries from the Medieval Period to the present. Taught in German.
,World Cultures,GP WC,GP WC,,WLS 202,Intermediate Spanish 2,3,WLS 201 or equivalent,A transition course between elementary language and advanced content courses. Emphasis on contemporary culture with an increased focus on reading and writing.  Continuation and refinement of grammatical structures and vocabulary as well as the development of speaking and listening skills in a content-based classroom.
,World Cultures,GP WC,GP WC,,WLS 222,Spanish for Heritage Speakers,3,Consent of instructor,"Provides an overview of language, social and cultural themes, and literature from the Spanish-speaking world for Heritage speakers of Spanish. Students will develop their writing and critical thinking abilities by reading, analyzing, and responding to texts while also working on common grammar and spelling issues."
,World Cultures,GP WC,GP WC,,WLS 321,Peninsular Spanish Civilization and Culture,3,WLS 303 or consent of instructor,An integrated survey of civilization and culture of the Iberian Peninsula from prehistoric times to the present. Survey concentrates on Spanish arts and intellectual achievements.
,World Cultures,GP WC,GP WC,,WLS 322,Latin-American Civilization and Culture,3,WLS 303  or consent of instructor,An integrated survey of Latin-American civilization and culture from pre-Columbian times to the present. Survey concentrates on Latin-American arts and intellectual achievements.
NW,World Cultures,GP WC,"GP WC,HU",,WLS 342,Survey of Hispanic American Literature I,3,WLS 315 or consent of instructor. WLS 322 recommended,Analysis of Hispanic-American literature from its roots in the indigenous pre-Columbian civilizations to Modernism.
NW,World Cultures,GP WC,"GP WC,HU",,WLS 343,Survey of Hispanic American Literature II,3,"WLS 315 or consent of instructor. WLS 322, 342 recommended",Analysis of non-Western cultures and traditions in representative works by major authors of Hispanic-America from 1910 to present.
CD,World Cultures,GP WC,GP WC,,WLS 360,Spanish in the United States,3,"WLS 320, WLL 311, ENG 311, or consent of instructor","Provides an introduction to the varieties of Spanish spoken in the United States as well as the Spanish-speaking communities throughout the United States, including the Southwest, Florida, the Northeast, Louisiana, and the Midwest. Additionally, students will focus on the social issues surrounding the use of Spanish in the United States, such as language attitudes and ideologies, language policy, and bilingualism."
,World Cultures,GP WC,"GP WC,HU",,WLT 140,Global Literatures in Translation,3,,"Study of representation of human values and cultures in literatures emerging from regions such as Africa, Asia, the Caribbean, Europe, the Middle East, and Latin America."
